algorithm,delta,gap,mu_0,mu_1,horizon,n_runs,p_optimal,p_lock_in,p_ambiguous
ucb1,0.0,0.02,0.6,0.58,5000,100,0.05,0.0,0.95
ucb1,0.01,0.02,0.6,0.58,5000,100,0.04,0.0,0.96
ucb1,0.02,0.02,0.6,0.58,5000,100,0.03,0.0,0.97
ucb1,0.04,0.02,0.6,0.58,5000,100,0.07,0.0,0.93
ucb1,0.06,0.02,0.6,0.58,5000,100,0.08,0.0,0.92
ucb1,0.08,0.02,0.6,0.58,5000,100,0.06,0.0,0.94
ucb1,0.1,0.02,0.6,0.58,5000,100,0.04,0.0,0.96
ucb1,0.12,0.02,0.6,0.58,5000,100,0.01,0.0,0.99
ucb1,0.14,0.02,0.6,0.58,5000,100,0.0,0.0,1.0
ucb1,0.16,0.02,0.6,0.58,5000,100,0.0,0.01,0.99
ucb1,0.18,0.02,0.6,0.58,5000,100,0.0,0.0,1.0
ucb1,0.2,0.02,0.6,0.58,5000,100,0.0,0.0,1.0
ucb1,0.0,0.04,0.6,0.5599999999999999,5000,100,0.2,0.0,0.8
ucb1,0.01,0.04,0.6,0.5599999999999999,5000,100,0.18,0.0,0.82
ucb1,0.02,0.04,0.6,0.5599999999999999,5000,100,0.14,0.0,0.86
ucb1,0.04,0.04,0.6,0.5599999999999999,5000,100,0.15,0.0,0.85
ucb1,0.06,0.04,0.6,0.5599999999999999,5000,100,0.19,0.0,0.81
ucb1,0.08,0.04,0.6,0.5599999999999999,5000,100,0.14,0.0,0.86
ucb1,0.1,0.04,0.6,0.5599999999999999,5000,100,0.07,0.0,0.93
ucb1,0.12,0.04,0.6,0.5599999999999999,5000,100,0.01,0.0,0.99
ucb1,0.14,0.04,0.6,0.5599999999999999,5000,100,0.0,0.0,1.0
ucb1,0.16,0.04,0.6,0.5599999999999999,5000,100,0.0,0.0,1.0
ucb1,0.18,0.04,0.6,0.5599999999999999,5000,100,0.0,0.0,1.0
ucb1,0.2,0.04,0.6,0.5599999999999999,5000,100,0.0,0.0,1.0
ucb1,0.0,0.06,0.6,0.54,5000,100,0.48,0.0,0.52
ucb1,0.01,0.06,0.6,0.54,5000,100,0.37,0.0,0.63
ucb1,0.02,0.06,0.6,0.54,5000,100,0.35,0.0,0.65
ucb1,0.04,0.06,0.6,0.54,5000,100,0.41,0.0,0.59
ucb1,0.06,0.06,0.6,0.54,5000,100,0.37,0.0,0.63
ucb1,0.08,0.06,0.6,0.54,5000,100,0.36,0.0,0.64
ucb1,0.1,0.06,0.6,0.54,5000,100,0.14,0.0,0.86
ucb1,0.12,0.06,0.6,0.54,5000,100,0.01,0.0,0.99
ucb1,0.14,0.06,0.6,0.54,5000,100,0.0,0.0,1.0
ucb1,0.16,0.06,0.6,0.54,5000,100,0.0,0.0,1.0
ucb1,0.18,0.06,0.6,0.54,5000,100,0.0,0.0,1.0
ucb1,0.2,0.06,0.6,0.54,5000,100,0.0,0.0,1.0
ucb1,0.0,0.08,0.6,0.52,5000,100,0.66,0.0,0.34
ucb1,0.01,0.08,0.6,0.52,5000,100,0.62,0.0,0.38
ucb1,0.02,0.08,0.6,0.52,5000,100,0.52,0.0,0.48
ucb1,0.04,0.08,0.6,0.52,5000,100,0.62,0.0,0.38
ucb1,0.06,0.08,0.6,0.52,5000,100,0.6,0.0,0.4
ucb1,0.08,0.08,0.6,0.52,5000,100,0.57,0.0,0.43
ucb1,0.1,0.08,0.6,0.52,5000,100,0.35,0.0,0.65
ucb1,0.12,0.08,0.6,0.52,5000,100,0.03,0.0,0.97
ucb1,0.14,0.08,0.6,0.52,5000,100,0.0,0.0,1.0
ucb1,0.16,0.08,0.6,0.52,5000,100,0.0,0.0,1.0
ucb1,0.18,0.08,0.6,0.52,5000,100,0.0,0.0,1.0
ucb1,0.2,0.08,0.6,0.52,5000,100,0.0,0.0,1.0
ucb1,0.0,0.1,0.6,0.5,5000,100,0.78,0.0,0.22
ucb1,0.01,0.1,0.6,0.5,5000,100,0.75,0.0,0.25
ucb1,0.02,0.1,0.6,0.5,5000,100,0.69,0.0,0.31
ucb1,0.04,0.1,0.6,0.5,5000,100,0.82,0.0,0.18
ucb1,0.06,0.1,0.6,0.5,5000,100,0.82,0.0,0.18
ucb1,0.08,0.1,0.6,0.5,5000,100,0.82,0.0,0.18
ucb1,0.1,0.1,0.6,0.5,5000,100,0.4,0.0,0.6
ucb1,0.12,0.1,0.6,0.5,5000,100,0.03,0.0,0.97
ucb1,0.14,0.1,0.6,0.5,5000,100,0.0,0.0,1.0
ucb1,0.16,0.1,0.6,0.5,5000,100,0.0,0.0,1.0
ucb1,0.18,0.1,0.6,0.5,5000,100,0.0,0.0,1.0
ucb1,0.2,0.1,0.6,0.5,5000,100,0.0,0.0,1.0
ucb1,0.0,0.12,0.6,0.48,5000,100,0.94,0.0,0.06
ucb1,0.01,0.12,0.6,0.48,5000,100,0.87,0.0,0.13
ucb1,0.02,0.12,0.6,0.48,5000,100,0.84,0.0,0.16
ucb1,0.04,0.12,0.6,0.48,5000,100,0.93,0.0,0.07
ucb1,0.06,0.12,0.6,0.48,5000,100,0.91,0.0,0.09
ucb1,0.08,0.12,0.6,0.48,5000,100,0.94,0.0,0.06
ucb1,0.1,0.12,0.6,0.48,5000,100,0.45,0.0,0.55
ucb1,0.12,0.12,0.6,0.48,5000,100,0.03,0.0,0.97
ucb1,0.14,0.12,0.6,0.48,5000,100,0.0,0.0,1.0
ucb1,0.16,0.12,0.6,0.48,5000,100,0.0,0.0,1.0
ucb1,0.18,0.12,0.6,0.48,5000,100,0.0,0.0,1.0
ucb1,0.2,0.12,0.6,0.48,5000,100,0.0,0.0,1.0
ucb1,0.0,0.14,0.6,0.45999999999999996,5000,100,0.91,0.0,0.09
ucb1,0.01,0.14,0.6,0.45999999999999996,5000,100,0.96,0.0,0.04
ucb1,0.02,0.14,0.6,0.45999999999999996,5000,100,0.95,0.0,0.05
ucb1,0.04,0.14,0.6,0.45999999999999996,5000,100,0.97,0.0,0.03
ucb1,0.06,0.14,0.6,0.45999999999999996,5000,100,0.99,0.0,0.01
ucb1,0.08,0.14,0.6,0.45999999999999996,5000,100,0.98,0.0,0.02
ucb1,0.1,0.14,0.6,0.45999999999999996,5000,100,0.45,0.0,0.55
ucb1,0.12,0.14,0.6,0.45999999999999996,5000,100,0.03,0.0,0.97
ucb1,0.14,0.14,0.6,0.45999999999999996,5000,100,0.0,0.0,1.0
